student_id,enrollment_date,name,age,gender,department,course,semester,gpa,attendance_pct,assignments_submitted,hours_studied_weekly,scholarship,placement_status,salary_offered
STU-000000,2021-11-09,Student_0,29,Non-binary,CS,B.Tech,3.0,2.19,91.683046604124,1,27.0,0,Not Placed,800000
STU-000001,2022-08-30,Student_1,29,Male,MBA,M.Tech,5.0,7.54,40.89459592078514,2,,5000,Internship,500000
STU-000002,2023-01-12,Student_2,28,Male,EE,M.Tech,1.0,5.38,99.65871408735751,0,0.0,5000,Placed,300000
STU-000003,2020-11-24,Student_3,25,Female,ME,M.Tech,3.0,5.05,44.819887494528885,4,11.0,20000,Placed,0
STU-000004,2022-01-16,Student_4,18,Male,EE,B.Tech,7.0,7.76,54.406285422485794,10,5.0,10000,Placed,300000
STU-000005,2019-06-11,Student_5,25,Non-binary,ME,M.Tech,5.0,9.54,96.7265112474634,5,35.0,10000,Not Placed,800000
STU-000006,2021-01-19,Student_6,18,Non-binary,ME,PhD,5.0,5.31,82.96992500167921,4,45.0,10000,Placed,500000
STU-000007,2022-09-18,Student_7,29,Non-binary,CS,MBA,7.0,4.91,99.91441924402511,11,44.0,5000,Internship,800000
STU-000008,2019-10-04,Student_8,20,Male,CS,MBA,1.0,8.55,52.69990782056098,14,6.0,0,Placed,300000
STU-000009,2019-06-01,Student_9,26,Male,CS,M.Tech,2.0,9.41,73.21185341201075,16,34.0,20000,Placed,800000
STU-000010,2021-09-27,Student_10,28,Male,CS,B.Tech,7.0,8.08,61.3315843650784,3,0.0,10000,Not Placed,2500000
STU-000011,2021-03-14,Student_11,28,Male,ME,B.Tech,1.0,2.04,71.09591141800472,9,10.0,0,Internship,0
STU-000012,2019-02-05,Student_12,25,Female,ME,MBA,7.0,2.87,90.62279182892779,8,10.0,5000,Not Placed,6000000
STU-000013,2022-09-24,Student_13,27,Male,ME,PhD,7.0,5.96,54.64782336409249,1,45.0,0,Not Placed,0
STU-000014,2019-01-07,Student_14,27,Non-binary,MBA,PhD,4.0,9.81,91.24779770631409,0,17.0,0,Placed,0
STU-000015,2022-08-16,Student_15,22,Non-binary,EE,M.Tech,3.0,4.39,42.712566612822265,11,11.0,20000,Placed,1200000
STU-000016,2022-03-11,Student_16,24,Female,EE,M.Tech,5.0,9.69,55.96641745030094,4,21.0,10000,Placed,800000
STU-000017,2022-07-19,Student_17,20,Non-binary,EE,B.Tech,1.0,8.03,66.61135451910849,19,46.0,10000,Placed,1200000
STU-000018,2020-01-14,Student_18,23,Non-binary,CS,MBA,5.0,7.76,95.74725091320116,18,9.0,20000,Internship,1200000
STU-000019,2021-04-06,Student_19,22,Female,EE,PhD,6.0,5.19,71.49840024511585,7,41.0,0,Placed,800000
STU-000020,2022-03-01,Student_20,24,Non-binary,CS,B.Tech,5.0,2.88,73.36541296898685,6,31.0,0,Not Placed,300000
STU-000021,2022-02-24,Student_21,28,Female,ME,MBA,6.0,4.91,47.080323786553805,5,39.0,20000,Internship,800000
STU-000022,2020-04-01,Student_22,26,Female,Civil,MBA,2.0,5.99,87.77573524236371,4,11.0,10000,Not Placed,500000
STU-000023,2019-04-19,Student_23,20,Male,Civil,PhD,8.0,9.14,58.61758117519669,3,38.0,0,Internship,2500000
STU-000024,2019-04-15,Student_24,20,Non-binary,CS,MBA,3.0,8.52,68.76135670643593,6,10.0,0,Internship,300000
STU-000025,2020-10-14,Student_25,18,Female,Civil,MBA,2.0,4.88,74.52151237691574,15,28.0,10000,Placed,0
STU-000026,2021-02-11,Student_26,26,Female,CS,B.Tech,8.0,3.81,70.79982184398403,10,44.0,10000,Internship,300000
STU-000027,2020-07-29,Student_27,18,Non-binary,CS,PhD,6.0,6.18,56.55710874872837,10,26.0,0,Internship,1200000
STU-000028,2019-04-29,Student_28,22,Non-binary,Civil,M.Tech,6.0,9.89,97.38328614581748,12,13.0,5000,Internship,300000
STU-000029,2019-09-17,Student_29,25,Female,Civil,B.Tech,8.0,2.08,49.68536043717602,2,41.0,0,Placed,1200000
STU-000030,2022-12-20,Student_30,20,Female,MBA,MBA,3.0,3.15,88.61007150561369,8,32.0,20000,Placed,300000
STU-000031,2020-05-13,Student_31,19,Male,CS,PhD,2.0,8.25,60.795640838795045,18,24.0,0,Internship,300000
STU-000032,2022-04-19,Student_32,23,Female,EE,MBA,4.0,4.04,46.656393458597336,3,22.0,5000,Internship,0
STU-000033,2022-11-11,Student_33,22,Male,MBA,PhD,7.0,3.29,49.586431750096466,2,16.0,5000,Placed,800000
STU-000034,2019-12-31,Student_34,19,Male,MBA,PhD,7.0,2.42,72.39858057184426,19,6.0,10000,Internship,300000
STU-000035,2021-11-25,Student_35,25,Male,ME,M.Tech,4.0,7.62,47.60311770155487,17,0.0,5000,Placed,300000
STU-000036,2022-06-29,Student_36,25,Male,EE,B.Tech,5.0,2.25,49.85000368439082,14,23.0,0,Placed,800000
STU-000037,2019-05-21,Student_37,20,Non-binary,Civil,M.Tech,4.0,8.45,45.126583651223605,18,42.0,10000,Not Placed,800000
STU-000038,2022-04-06,Student_38,25,Female,Civil,M.Tech,3.0,9.23,86.06197394978076,16,37.0,20000,Placed,500000
STU-000039,2019-08-29,Student_39,19,Female,MBA,PhD,2.0,2.86,93.70611159943897,7,3.0,5000,Internship,800000
STU-000040,2020-06-06,Student_40,24,Female,MBA,B.Tech,3.0,2.06,90.02370109028253,12,31.0,0,Internship,500000
STU-000041,2022-05-10,Student_41,29,Male,EE,M.Tech,3.0,9.27,74.44868198871725,5,49.0,5000,Placed,0
STU-000042,2022-12-18,Student_42,25,Male,EE,B.Tech,7.0,9.1,71.56365848341736,12,13.0,0,Placed,500000
STU-000043,2021-04-03,Student_43,19,Male,CS,B.Tech,4.0,2.16,89.68508639399137,4,40.0,10000,Placed,300000
STU-000044,2021-07-06,Student_44,29,Male,EE,B.Tech,5.0,4.76,79.3015561746594,16,23.0,0,Internship,300000
STU-000045,2021-05-06,Student_45,28,Non-binary,Civil,PhD,6.0,7.72,74.14736432543123,4,6.0,0,Not Placed,800000
STU-000046,2022-07-13,Student_46,26,Non-binary,CS,B.Tech,3.0,4.32,94.16612864564686,9,2.0,5000,Placed,300000
